name,address,city,state,zip,lat,lon
74 Medford,65 Rossanley Dr,Medford,OR,97501,42.3433091,-122.8854407
75 S. Last Vegas,8164 S Las Vegas Blvd. Ste 101.,Las Vegas,NV,89123,36.1152385,-115.2828511
76 Clayton,4305 Clayton Road | STE E,Concord,CA,94521,37.9654976,-121.9935867
77 Blosson Valley Plaza,"809 Cuesta Drive, Suite A",Mountain View,CA,94040,37.3731296,-122.0905358
78 Los Banos,1451 W Pacheco Blvd Ste D,Los Banos,CA,93635,37.0555148,-120.8795157
79 Salinas,1506 Constitution Blvd,Salinas,CA,93905,36.7000206,-121.6226746
80 Huntington Beach,7821 Edinger Ave STE 122,Huntington Beach,CA,92647,33.7326429,-117.9948357
81 Porter Ranch,19753 Rinaldi St STE B,Porter Ranch,CA,91326,34.2752096,-118.5660916
83 Rancho Cucamonga,6331 Haven Ave STE 2,Rancho Cucamonga,CA,91737,34.1388473,-117.576831
84 Hayward,22341 Foothill Blvd,Hayward,CA,94541,37.6776506,-122.0864177
87 Upland,1902 N Campus Ave #D ,Upland,CA,91782,34.1310748,-117.6410628
88 Eastern Ave,10575 S Eastern Ave Suite #170,Henderson,NV,89052,35.9991534,-115.1110079
89 Flying Horse,13590 Roller Coaster Rd STE 150,Colorado Springs,CO,80921,39.0288737,-104.7850842
90 S San Francisco,26 Chestnut Ave,South San Francisco,CA,94080,37.6558487,-122.4347229
91 Soscol Ave,308 Soscol Ave Suite B,Napa,CA,94559,38.2856902,-122.275992
92 Fremont,39370 Civic Center Dr suit b,Fremont,CA,94538,37.5533463,-121.9764083
93 Irvine,14001 Jeffrey Rd,Irvine,CA,92620,33.6965248,-117.7654524
94 Belmont,1250 El Camino Real,Belmont,CA,94002,37.6088494,-122.4021725
98 Millbrae,101 N Rollins Rd,Millbrae,CA,94030,37.6007871,-122.3866329
100 Morgan Hill,622 Tennant Station Way,Morgan Hill,CA,95037,37.1134068,-121.6410878
101 Fountain,6235 Sawcut Point STE 120,Fountain,CO,80817,38.7192232,-104.7155942
108 Grand Canal Shoppes,3377 Las Vegas Blvd S STE 2190,Las Vegas,NV,89109,36.1226252,-115.1707579
109 Carlsbad,2588 El Camino Real,Carlsbad,CA,92008,33.1781628,-117.3278119
11 Dublin,2696 Dublin Blvd,Dublin,CA,94568,37.7061926,-121.8543515
112 Cirby Way,1200 Cirby Way Ste. D,Roseville,CA,95661,38.7290993,-121.273594
115 E Chaparral Scottsdale,7908 E Chaparral Rd STE 104,Scottsdale,AZ,85250,33.5105593,-111.9138827
119 Sunrise - Rancho Cordova,"4040 Sunrise BLVD, STE 120",Rancho Cordova,CA,95670,38.5569376,-121.2460057
120 Los Altos Pkwy,150 Los Altos Pkwy Suite 105,Sparks,NV,89436,39.5828264,-119.7431459
121 Trinity Pkwy,10318 Trinity Pkwy,Stockton,CA,95219,38.0489793,-121.3759481
132 Wausau,601 Forest St,Wausau,WI,54403,44.9566219,44.9566219
Santa Cruz,849 Almar Ave STE B,Santa Cruz,CA,95060,36.9611372,-122.0467962
Oakley,986 Laurel Rd. Suite C,Oakley,CA,94561,37.9837393,-121.7152984
Danville - Black Hawk,3454 Camino Tassajara Rd,Danville,CA,94506,37.7977636,-121.9220854
Folsom,510 Natoma Station STE 500,Folsom,CA,95630,38.6555087,-121.181428
Sacramento-Bicentennial Circle,390 Bicentennial Circle Suite,Sacramento,CA,95826,38.5496896,-121.4104915
Sacramento Valley Station,401 I Street #110,Sacramento,CA,95814,38.5843132,-121.5053607
Pinole,1588 Fitzgerald Dr,Pinole,CA,94564,37.9906121,-122.3027074
Vacaville,134 Browns Valley Parkway,Vacaville,CA,95688,38.3653899,-121.9718825
Northridge,18456 Dearborn Street,Northridge,CA,91324,34.2370971,-118.5379324
Monrovia,144 W Foothill Blvd Suite E2,Monrovia,CA,91016,34.1511832,-118.0016549
Orange,1500 East Village Way STE 2204,Orange,CA,92865,33.8270888,-117.8413404
Rancho Santa Margarita,22312 El Paseo STE E,Rancho Santa Margarita,CA,92688,33.6389071,-117.5957745
Ladera Ranch,27642 Antonio Pkwy,Ladera Ranch,CA,92694,33.5616908,-117.6308289
E. Lake Mead Pkwy Henderson,883 E. Lake Mead Parkway Suite 135,Henderson,NV,89015,36.0553306,-114.973079
Avondale (Dysart Rd),1729 N Dysart Rd B104,Avondale,AZ,85392,33.4671846,-112.3418543
