name,address,city,state,zip,lat,lon
San Gabriel,308 W Valley Blvd,San Gabriel,CA,91776,34.096756,-118.105667
Bellevue,308 105th Ave NE,Bellevue,WA,98004,47.6158,-122.2003
Milpitas,212 Barber Court,Milpitas,CA,95035,37.4223,-121.9172
Southcenter,100 Andover Park W Ste 120,Tukwila,WA,98188,47.45999,-122.25332
Bellaire,9889 Bellaire Boulevard E213,Houston,TX,77036,29.70416,-95.55294
Rowland Height,1380 Fullerton Rd Ste 101,Rowland Height,CA,91748,33.9883,-117.8891
Mountain View,1040 Grant Rd Suite #350,Mountain View,CA,94040,37.3725,-122.0827
Katy,1223 Grand W Blvd Suite B-103,Katy,TX,77449,29.7909,-95.7725
