state,city,address,p1-1,p1-2,p1-3,p1-4,p2-1,p2-2,p2-3,p2-4,p3-1,p3-2,p3-3,p3-4,p3-5,p4-1,p4-2,p4-3,p4-4,p5-1,p5-2,p5-3,p5-4,p6-1,p6-2,p6-3,p6-4,p6-5,p7-1,p7-2,p7-3,p7-4,p8-1,p8-2,p8-3,h1 avg weekly,pop 1 mi,pop 3 mi,pop 5 mi,daytime pop 1 mi,daytime 3 mi,daytime 5 mi,median age 1 mi,med age 3 mi,med age 5 mi,white pop % 1 mi,white pop % 3 mi,white pop % 5 mi,black pop % 1 mi,black pop % 3 mi ,black pop % 5 mi,hispanic pop % 1 mi,hispanic pop % 3 mi,hispanic pop % 5 mi,asian pop % 1 mi,asian pop % 3 mi,asian pop % 5 mi,employee count 1 mi,emp count 3 mi,emp count 5 mi,blue collar % 1 mi,blue collar % 3 mi,blue collar % 5 mi,white collar % 1 mi,white collar % 3 mi,white collar % 5 mi,med hh income 1 mi,med hh income 3 mi,med hh income 5 mi,hh discretionary spend 1 mi,hh discretionary spend 3 mi,hh discretionary spend 5 mi,hh dining spend 1 mi,hh dining spend 3 mi,hh dining spend 5 mi,city renter %,city wfh %,plaza foot traffic,Latitude,Longitude,Geocode_Status,Geocode_Notes,format,visibility
IN,Crown Point,146 W 109th Ave,"$23,180.59","$26,796.32","$23,511.22","$28,217.84","$23,665.00","$25,467.77","$25,725.23","$31,283.32","$25,728.01","$25,970.99","$28,408.05","$27,368.43","$31,747.71","$30,764.04","$30,902.80","$31,404.36","$27,071.11","$33,291.67","$29,234.66","$30,161.79","$26,712.78","$24,706.09","$26,425.26","$30,733.01","$28,220.76","$29,440.21","$32,182.57","$34,675.94","$36,541.78","$30,025.18","$29,726.78","$29,204.03","$8,500.03",,7686,34038,77304,7005,30981,71561,41.7,42.8,41.5,80.90%,75.70%,66.90%,5.90%,10.10%,17.40%,11.60%,9.60%,13.00%,2.10%,2.60%,2.20%,5667,25472,47854,13.10%,6.20%,9.10%,86.90%,93.80%,90.90%,82645,86778,83365,9016,9340,9073,3514,3615,3532,28.30%,8.20%,2573297,41.4174508,-87.3658178,OK,,end cap,1
CA,Danville,405 Railroad Ave,"$9,552.37","$11,598.55","$13,022.55","$12,063.95","$12,552.58","$11,055.90","$10,698.22","$13,522.61","$12,646.69","$11,827.70","$13,276.38","$12,436.29","$10,390.29","$9,844.19","$10,255.22","$11,367.49","$12,839.43","$11,802.87","$12,537.91","$12,983.00","$12,517.77","$9,343.41","$13,577.61","$9,110.49","$8,815.29","$10,169.87","$10,315.02","$12,126.36","$11,720.37","$11,921.34","$11,512.33","$13,606.39","$13,747.61",,8670,41943,101700,7864,40044,95321,43.3,45.5,46.3,69.30%,68.40%,61.90%,0.60%,0.80%,1.30%,10.40%,8.00%,8.80%,17.30%,16.20%,23.60%,6711,15818,53152,7.90%,13.40%,9.10%,92.10%,86.60%,90.90%,163949,192072,181283,17825,19985,19167,6286,6887,6661,32.00%,21.30%,6434766,37.8191833,-121.9978495,OK,,end cap,1
UT,Draper,487 E 12300 S,"$29,603.24","$27,545.12","$29,565.22","$30,256.53","$28,411.18","$34,253.62","$28,323.32","$30,096.46","$28,714.47","$29,523.46","$31,136.10","$31,814.91","$36,785.65","$30,839.49","$26,160.49","$30,864.10","$35,557.56","$33,572.92","$30,099.59","$31,678.76","$33,691.93","$32,435.13","$30,798.82","$34,439.40","$31,882.83","$36,062.13","$32,848.17","$33,327.92","$31,886.76","$32,247.70","$38,133.02","$35,094.55","$34,151.24",,9690,81294,206006,8918,73201,189987,35.2,37.5,37.1,82.40%,81.50%,80.40%,0.20%,1.30%,0.90%,7.70%,8.20%,10.30%,8.70%,5.10%,4.20%,10135,67437,133490,8.40%,12.70%,15.90%,91.60%,87.30%,84.10%,99297,109868,113860,11102,11944,12256,4213,4466,4559,33.90%,19.70%,1082190,40.5269819,-111.8775954,OK,,end cap,1
GA,Duluth,1950 Satellite Blvd,"$10,342.78","$11,791.59","$11,809.16","$8,867.95","$7,205.98","$12,713.53","$14,386.06","$14,276.69","$14,969.66","$14,547.16","$16,961.35","$14,874.44","$18,283.89","$14,455.35","$18,767.61","$16,737.85","$16,798.41","$17,308.04","$14,453.71","$20,161.45","$18,557.82","$18,229.25","$17,996.03","$15,164.17","$18,263.38","$18,521.67","$16,985.00","$18,391.02","$16,666.26","$20,214.75","$19,177.46","$20,245.70","$20,836.93",,11237,74401,226666,18107,66757,210811,35.8,37.4,36.5,21.80%,29.90%,29.20%,26.80%,21.50%,23.80%,9.40%,21.80%,26.40%,37.00%,24.90%,20.40%,20577,63694,132118,5.50%,13.70%,12.20%,94.50%,86.30%,87.80%,78927,87628,81356,9138,9855,9340,3586,3809,3649,33.70%,18.40%,484547,33.991111,-84.0859185,OK,,end cap,1
VA,Falls Church,6410 Arlington Blvd,"$26,224.14","$28,958.22","$25,938.73","$28,134.23","$22,003.92","$31,810.81","$25,750.54","$29,176.07","$31,809.81","$31,606.84","$29,537.40","$30,405.83","$35,122.76","$29,010.31","$34,709.59","$34,295.59","$32,432.83","$34,323.85","$31,909.95","$36,475.14","$32,259.69","$31,387.75","$33,868.95","$38,673.30","$32,483.59","$32,659.93","$30,711.26","$34,683.04","$37,569.06","$36,576.19","$37,437.09","$38,093.62","$39,836.79",,20617,199473,543196,19608,189314,509512,37,39.8,38.8,56.70%,54.30%,51.20%,5.70%,6.70%,11.30%,23.90%,22.50%,19.60%,14.90%,12.90%,14.30%,8401,84656,280698,3.40%,4.00%,4.00%,96.40%,96.00%,96.00%,124533,135879,128622,13323,14189,13638,4891,5143,4983,31.40%,28.70%,389796,38.8726061,-77.1612783,OK,,in line,1
NJ,Florham Park,182 Ridgedale Ave,"$21,738.58","$27,636.99","$35,653.16","$26,245.14","$23,445.96","$29,132.28","$26,206.91","$33,964.09","$23,851.58","$34,634.11","$30,688.17","$30,662.43","$33,403.85","$27,810.48","$31,224.24","$33,631.91","$37,314.01","$32,115.83","$32,760.85","$36,812.90","$36,101.41","$28,375.00","$38,708.60","$40,008.91","$37,534.01","$34,622.47","$29,051.17","$30,818.05","$31,451.12","$32,909.65","$34,445.17","$36,371.29","$35,310.30",,6284,47849,151487,10941,58621,151903,46.8,41.8,42.4,70.30%,70.60%,65.70%,2.20%,3.80%,4.00%,8.20%,9.90%,10.00%,10.80%,11.70%,17.80%,12433,66615,172618,9.40%,6.20%,6.10%,90.60%,93.80%,93.90%,153079,149016,158180,16488,16170,16883,5873,5783,5985,25.70%,21.80%,18322956,40.7865405,-74.3913089,OK,,in line,1
TX,Fort Worth,9654 Red Dirt Rd,"$18,453.27","$16,399.33","$16,969.64","$13,367.39","$13,272.60","$18,634.67","$15,089.25","$15,312.99","$19,524.52","$18,842.48","$18,850.87","$18,964.06","$18,941.23","$18,520.82","$18,283.51","$16,938.28","$17,662.59","$20,365.48","$14,433.55","$14,494.58","$16,035.44","$16,468.10","$16,746.25","$20,626.23","$16,356.52","$21,904.36","$13,923.42","$17,852.83","$17,951.65","$16,685.24","$19,533.08","$18,685.84","$19,541.37",,8158,67949,176078,8086,68901,172943,32.9,36.5,36,34.50%,37.80%,40.70%,38.00%,32.40%,28.30%,18.50%,25.70%,28.20%,5.90%,6.80%,5.50%,596,7.44,26118,5.70%,5.70%,9.10%,94.30%,94.30%,90.90%,119353,92371,81507,12440,10338,9444,4596,3965,3689,40.70%,14.80%,4398995,32.6050491,-97.4088826,OK,,end cap,0
TX,Friendswood,700 Baybrook Mall,"$10,325.81","$9,624.29","$9,585.42","$7,131.79","$8,309.15","$9,252.69","$10,020.93","$9,798.26","$12,172.13","$11,512.50","$9,911.25","$11,291.17","$12,045.41","$13,230.90","$11,017.07","$11,521.83","$11,848.72","$12,071.75","$10,446.38","$13,070.09","$9,304.11","$10,750.64","$9,809.38","$10,984.71","$9,911.46","$10,897.12","$10,355.81","$11,983.35","$10,546.53","$10,473.87","$12,485.81","$13,820.08","$13,298.40",,9119,80633,200271,8825,75411,188704,40,38.4,40.8,56.80%,57.00%,57.40%,12.90%,10.80%,8.10%,30.80%,25.70%,25.80%,6.90%,9.10%,10.50%,2445,43511,96389,3.80%,5.50%,7.50%,96.20%,94.50%,92.50%,56019,78096,94300,7203,9157,10493,2972,3599,4012,45.30%,12.90%,10262713,29.5416101,-95.1486867,OK,,end cap,0
AZ,Gilbert,4972 South Power Rd,"$48,857.01","$47,770.69","$53,845.30","$47,587.10","$49,821.94","$48,658.15","$44,946.80","$54,392.61","$53,301.13","$51,667.12","$49,127.10","$50,921.84","$57,169.57","$53,365.39","$55,358.91","$53,094.37","$47,258.30","$48,583.77","$49,589.55","$59,054.23","$46,740.59","$39,826.37","$44,138.80","$42,261.89","$40,796.37","$42,286.03","$36,526.30","$41,592.23","$43,003.41","$45,806.45","$47,153.56","$48,551.41","$46,869.61",,8980,81097,244885,8342,79355,237152,24.5,32.5,36.1,74.50%,71.50%,71.70%,4.50%,3.80%,3.50%,28.10%,17.90%,17.80%,2.80%,5.60%,4.90%,5312,14513,64434,6.20%,10.10%,9.10%,93.80%,89.90%,90.90%,96339,115599,107700,11161,12732,12097,4254,4725,4536,34.80%,20.80%,8278548,33.3257217,-111.687429,OK,"city mismatch: typed 'Gilbert', Google matched 'Mesa'",end cap,1
SC,Goose Creek,100 Gosling Way,"$27,361.93","$33,539.21","$31,126.96","$28,746.36","$23,052.88","$27,880.33","$31,855.85","$31,907.76","$33,474.72","$32,168.32","$31,071.77","$29,687.89","$33,262.46","$31,159.34","$30,396.36","$32,751.56","$34,338.82","$35,811.07","$35,063.43","$36,763.08","$34,846.10","$32,124.90","$33,640.58","$33,596.67","$33,322.70","$30,996.04","$26,003.33","$32,572.57","$32,429.50","$32,955.17","$33,519.25","$30,486.66","$34,267.94",,6805,49090,96723,6699,48062,93504,31.1,36.9,38,49.60%,54.20%,61.50%,32.70%,19.80%,21.40%,12.20%,10.90%,10.80%,2.70%,2.80%,2.40%,879,8561,26819,3.40%,11.10%,16.90%,96.60%,88.90%,83.10%,63004,74992,77491,7730,8767,8977,3135,3466,3532,25.50%,12.40%,1896754,33.055567,-80.098868,OK,"city mismatch: typed 'Goose Creek', Google matched 'Summerville'",in line,0
